	Dynamic_model_log_likelihood	Constant_model_log_likelihood	log_likelihood_ratio	p_value	q_value
LINC02593	-809.5106127515417	-776.6449053954674	-32.86570735607427	1.0	1.0
SAMD11	-1809.0210824289322	-1689.5343495931813	-119.4867328357509	1.0	1.0
MXRA8	-4525.722318218825	-3959.871102086825	-565.8512161320004	1.0	1.0
VWA1	-20855.21168032352	-20808.65729691931	-46.55438340420733	1.0	1.0
ATAD3B	-5335.23897545204	-5188.455117434696	-146.78385801734385	1.0	1.0
CDK11A	-8281.465484200802	-7209.977687041418	-1071.4877971593842	1.0	1.0
MMEL1	-457.3057062992255	-515.6465250868296	58.340818787604064	0.0	0.0
VAMP3	-16594.267554660604	-17177.455813019995	583.1882583593906	0.0	0.0
RBP7	-3016.72776200542	-3267.904309810464	251.1765478050438	0.0	0.0
CORT	-8369.116119090118	-7308.790191189374	-1060.3259279007443	1.0	1.0
TNFRSF1B	-2947.361355224577	-2537.7259564689875	-409.63539875558945	1.0	1.0
AL450998.2	-1894.2176191458339	-1663.698912040043	-230.51870710579078	1.0	1.0
NECAP2	-7347.339581974731	-6323.4064744747775	-1023.9331074999536	1.0	1.0
LINC01772	-677.0963146788135	-639.8652279261794	-37.231086752634155	1.0	1.0
LINC01783	-1134.808062851755	-1028.9582597764572	-105.84980307529781	1.0	1.0
PADI2	-30922.528750979298	-31793.57713328648	871.0483823071809	0.0	0.0
HSPG2	-1483.0726530955935	-1375.0197903374988	-108.05286275809476	1.0	1.0
C1QA	-8491.022993892915	-7052.745398106407	-1438.2775957865078	1.0	1.0
C1QC	-8437.874357280203	-7666.7823012328	-771.0920560474033	1.0	1.0
C1QB	-10335.377516828436	-9981.56401167799	-353.81350515044505	1.0	1.0
TCEA3	-3596.6217822771887	-3109.3110765342285	-487.3107057429602	1.0	1.0
ID3	-15881.435981018198	-16053.838744071829	172.40276305363113	0.0	0.0
SRRM1	-46849.261819616346	-47561.39762749528	712.1358078789344	0.0	0.0
CLIC4	-24048.13601262301	-25171.75440184062	1123.6183892176086	0.0	0.0
RUNX3	-700.7614530896983	-638.4662917430627	-62.29516134663561	1.0	1.0
SFN	-987.1336849208528	-891.0231487126684	-96.11053620818439	1.0	1.0
LINC01715	-555.1317975203017	-490.92044198057476	-64.21135553972692	1.0	1.0
GMEB1	-2942.2699838716376	-2579.794212748785	-362.4757711228526	1.0	1.0
MATN1	-389.7173056878492	-336.01284511887195	-53.704460568977254	1.0	1.0
LAPTM5	-13529.415658150183	-13631.690164201656	102.27450605147351	0.0	0.0
PTP4A2	-75038.94409745846	-75498.02469692338	459.0805994649272	0.0	0.0
FAM167B	-213.06611765496103	-192.4628016766964	-20.603315978264646	1.0	1.0
MARCKSL1	-76477.84925344835	-76103.91113007255	-373.9381233758031	1.0	1.0
ZBTB8B	-1614.852875879493	-1451.6595390770876	-163.19333680240538	1.0	1.0
ZC3H12A	-717.088697270558	-660.3335048983854	-56.75519237217259	1.0	1.0
RHBDL2	-3918.536866414561	-3383.6249214742575	-534.9119449403033	1.0	1.0
MFSD2A	-6564.410144523852	-6638.8372826052655	74.42713808141343	0.0	0.0
COL9A2	-16395.599753013823	-17502.62476969242	1107.0250166785954	0.0	0.0
AL603839.3	-839.7049724497574	-794.5042035893537	-45.20076886040374	1.0	1.0
YBX1	-29768.892115767267	-30194.73039532595	425.838279558684	0.0	0.0
SLC2A1-AS1	-1314.256957928744	-1178.6916944201416	-135.56526350860236	1.0	1.0
TMEM125	-8901.62018327447	-9675.151945560328	773.5317622858583	0.0	0.0
CDC20	-972.9798846455601	-879.2430575077553	-93.73682713780477	1.0	1.0
ELOVL1	-17349.135123878383	-17521.11330573046	171.9781818520787	0.0	0.0
AL357079.1	-1024.5847845069445	-903.7090936022254	-120.87569090471914	1.0	1.0
KIF2C	-216.1118392371616	-209.06540463326346	-7.046434603898149	1.0	1.0
TESK2	-4560.010321866341	-3849.980631035947	-710.0296908303935	1.0	1.0
CCDC163	-3395.8421697494546	-2944.0724985797397	-451.7696711697149	1.0	1.0
NASP	-24774.289482741948	-24848.918208253577	74.62872551162945	0.0	0.0
CCDC17	-213.95025204069435	-204.46171775058372	-9.488534290110636	1.0	1.0
PRPF38A	-13737.838386990332	-13800.355129491943	62.51674250161159	0.0	0.0
TUT4	-21942.580015876065	-22196.69951556312	254.11949968705449	0.0	0.0
SHISAL2A	-699.3550654018	-665.212364407855	-34.14270099394491	1.0	1.0
TTC22	-702.4271751198775	-658.6723372249284	-43.754837894949105	1.0	1.0
FYB2	-701.1514710459043	-625.5413617877291	-75.61010925817516	1.0	1.0
JUN	-52840.83099654789	-53092.08454889014	251.25355234224844	0.0	0.0
LINC01135	-1727.184209170299	-1561.1342595833376	-166.04994958696147	1.0	1.0
NFIA-AS2	-1172.7377513876897	-1087.072221604786	-85.66552978290383	1.0	1.0
AC099791.2	-1783.6139157379014	-1562.3592219016632	-221.25469383623818	1.0	1.0
GNG12	-8907.415499913654	-9085.619538200062	178.20403828640883	0.0	0.0
RPE65	-543.2054300538986	-519.8511431788993	-23.354286874999275	1.0	1.0
CTH	-2698.4537152777357	-2504.348646437342	-194.10506884039387	1.0	1.0
AL354872.2	-394.30419954162574	-378.5333147819799	-15.77088475964581	1.0	1.0
LRRIQ3	-1145.9153745042017	-1039.6648909135736	-106.25048359062816	1.0	1.0
AC105271.1	-849.4023681573531	-800.1640605202742	-49.23830763707883	1.0	1.0
ST6GALNAC3	-5161.567134594013	-4420.96819910526	-740.5989354887524	1.0	1.0
AC093433.2	-2304.204777328569	-2016.1155478323305	-288.08922949623843	1.0	1.0
IFI44L	-11773.653849734872	-12290.980884000302	517.3270342654305	0.0	0.0
AL157944.1	-1043.639559871981	-929.804765363103	-113.83479450887796	1.0	1.0
TTLL7	-72107.7572618629	-73264.56991938477	1156.812657521863	0.0	0.0
MCOLN2	-354.4810340794924	-506.7999143343159	152.31888025482345	0.0	0.0
CCN1	-10157.572526809818	-10345.033573432569	187.46104662275138	0.0	0.0
ZNHIT6	-18083.74236225965	-15471.429153791392	-2612.3132084682584	1.0	1.0
CLCA4	-3381.577146574164	-2866.215510641274	-515.3616359328903	1.0	1.0
PKN2-AS1	-711.9632490824933	-642.9513969475435	-69.01185213494989	1.0	1.0
AL445438.1	-812.3889869838529	-753.2213344206924	-59.16765256316046	1.0	1.0
PKN2	-13246.017926018196	-13265.794287952072	19.776361933876615	3.193206810081506e-10	1.1404310036005378e-09
GBP3	-4108.8323649105	-3609.0704538831533	-499.7619110273463	1.0	1.0
GBP1	-4252.626107402704	-3695.6037465574295	-557.0223608452748	1.0	1.0
LRRC8D	-14855.593021193288	-12678.173146849487	-2177.419874343801	1.0	1.0
ZNF326	-25684.95281905782	-26606.611420581357	921.6586015235371	0.0	0.0
ZNF644	-25455.804153260837	-24724.33548837473	-731.4686648861061	1.0	1.0
EVI5	-24226.449080357954	-24475.70616641758	249.2570860596279	0.0	0.0
CCDC18	-2685.000664296052	-2384.450731793828	-300.54993250222424	1.0	1.0
ARHGAP29	-9906.593188318486	-8216.49030005099	-1690.1028882674964	1.0	1.0
F3	-24383.311647971215	-24982.82211109065	599.5104631194336	0.0	0.0
CNN3	-46988.64949137578	-45768.23251605419	-1220.4169753215901	1.0	1.0
AC105942.1	-3729.0321046563868	-3290.098102346333	-438.934002310054	1.0	1.0
AC092802.1	-1459.3124771062867	-1363.0206169011424	-96.2918602051443	1.0	1.0
DPYD	-4313.446770859417	-3850.3924078296236	-463.05436302979297	1.0	1.0
PALMD	-3418.253961394707	-2984.597457309839	-433.6565040848682	1.0	1.0
TRMT13	-7902.4254320980635	-8024.703641368726	122.27820927066205	0.0	0.0
RTCA-AS1	-8012.351952170271	-6924.893494518978	-1087.4584576512934	1.0	1.0
VCAM1	-1896.2675280190297	-1649.3133597189105	-246.95416830011914	1.0	1.0
PRPF38B	-25853.549264380355	-26431.835467861463	578.2862034811078	0.0	0.0
SYPL2	-533.0447360621177	-508.53257994372257	-24.512156118395183	1.0	1.0
GSTM5	-5203.703031935962	-4556.42597347179	-647.2770584641721	1.0	1.0
CSF1	-5775.10996206976	-5821.011691221258	45.90172915149833	0.0	0.0
AL360270.2	-215.50239646233166	-206.76180388914923	-8.740592573182425	1.0	1.0
CHI3L2	-1032.8073319427358	-889.2041880269834	-143.6031439157524	1.0	1.0
TMIGD3	-2871.0209465144576	-2645.454387568983	-225.56655894547475	1.0	1.0
ADORA3	-2492.5842323460656	-2274.319456807521	-218.26477553854465	1.0	1.0
LINC01357	-573.9309553272881	-511.67174572370845	-62.25920960357962	1.0	1.0
SLC16A1	-12740.268118467398	-10842.875866101347	-1897.3922523660513	1.0	1.0
LRIG2-DT	-1155.0063854247323	-1061.930313928236	-93.0760714964963	1.0	1.0
DCLRE1B	-1674.2503266517247	-1492.7607770540644	-181.48954959766024	1.0	1.0
CASQ2	-841.5699336745025	-761.5378276848282	-80.03210598967428	1.0	1.0
NHLH2	-1592.3692563767627	-1383.2949610940059	-209.0742952827568	1.0	1.0
AL157904.1	-544.0159499619205	-499.29655526641005	-44.7193946955104	1.0	1.0
TTF2	-4044.5504678132006	-3547.7553947912843	-496.7950730219163	1.0	1.0
PHGDH	-34209.373178316324	-33553.93449255061	-655.4386857657155	1.0	1.0
HIST2H3PS2	-1809.6400756667351	-1641.1313754171094	-168.5087002496257	1.0	1.0
TXNIP	-29220.887734398355	-30065.147716733798	844.259982335443	0.0	0.0
GJA5	-394.2103484084631	-374.15119541950105	-20.05915298896207	1.0	1.0
PPIAL4G	-1016.9474897050283	-952.1483893345026	-64.79910037052571	1.0	1.0
AC245297.2	-6059.970312547819	-5252.668011629677	-807.3023009181425	1.0	1.0
NOTCH2NLC	-1176.0414556338412	-1098.3288792612052	-77.71257637263602	1.0	1.0
FCGR1A	-2795.935011729232	-2446.258881437787	-349.67613029144513	1.0	1.0
HIST2H2AA4	-887.4058121646387	-825.3352762854706	-62.07053587916812	1.0	1.0
HIST2H2BE	-8194.648257592089	-8476.484954624728	281.83669703263877	0.0	0.0
OTUD7B	-14441.002137176649	-15070.19277487394	629.1906376972911	0.0	0.0
C1orf54	-4060.7992515101373	-3569.0277085194994	-491.77154299063795	1.0	1.0
FALEC	-383.71018895505307	-342.8348566756126	-40.87533227944044	1.0	1.0
CTSS	-5229.3787665148075	-4633.597837328403	-595.7809291864041	1.0	1.0
CERS2	-17789.178178091093	-18730.21778101221	941.0396029211151	0.0	0.0
MINDY1	-4717.300333205605	-3996.6802983702587	-720.6200348353464	1.0	1.0
ZNF687-AS1	-212.7846167404518	-203.53723574917777	-9.247380991274042	1.0	1.0
CGN	-2128.567584011528	-1873.3761397421497	-255.1914442693785	1.0	1.0
S100A10	-6592.440627855958	-6329.249259964953	-263.19136789100503	1.0	1.0
S100A11	-6138.161553416545	-6304.553140396336	166.3915869797911	0.0	0.0
S100A9	-564.7310869039105	-524.3659423110365	-40.365144592874	1.0	1.0
S100A4	-2089.3284883047645	-1925.8025109361279	-163.52597736863663	1.0	1.0
S100A2	-732.0599326612592	-701.6819697246931	-30.377962936566064	1.0	1.0
BX470102.2	-720.2912920573283	-668.1835223541519	-52.10776970317636	1.0	1.0
S100A16	-15787.551229302591	-15393.676493933837	-393.87473536875405	1.0	1.0
AL358472.5	-385.6288250600541	-344.7400333974007	-40.88879166265343	1.0	1.0
RAB13	-12045.319643963454	-12157.792052357949	112.47240839449478	0.0	0.0
SHE	-1063.1943247409029	-998.5800309348537	-64.6142938060492	1.0	1.0
KCNN3	-18157.391264429116	-18595.0840825502	437.6928181210824	0.0	0.0
DCST2	-96.91389066804342	-187.68170237582206	90.76781170777863	0.0	0.0
MUC1	-1181.6390708780777	-1041.031542389271	-140.6075284888068	1.0	1.0
AC234582.1	-3543.8207009182092	-3488.4516201586775	-55.3690807595317	1.0	1.0
PAQR6	-61973.038089194386	-68515.96280575066	6542.924716556277	0.0	0.0
HAPLN2	-14491.772945123255	-15015.399010619403	523.6260654961479	0.0	0.0
BCAN	-49799.06153837461	-50031.524870346366	232.4633319717541	0.0	0.0
NES	-6998.048450884424	-6741.848071357628	-256.2003795267956	1.0	1.0
IFI16	-11156.022655778326	-9644.71118314751	-1511.3114726308158	1.0	1.0
VANGL2	-2990.682218303014	-2628.7594330531206	-361.9227852498934	1.0	1.0
CD84	-2047.174889124185	-1843.1515796624083	-204.02330946177676	1.0	1.0
ADAMTS4	-14554.704098319391	-14721.413952918121	166.7098545987301	0.0	0.0
FCGR2A	-2823.5458318545643	-2436.4007992298525	-387.1450326247118	1.0	1.0
HSPA6	-5255.575200186975	-4965.806079276735	-289.7691209102404	1.0	1.0
FCGR3A	-4638.773303553019	-3979.359702756224	-659.413600796795	1.0	1.0
DDR2	-15201.40552442306	-14839.455889118448	-361.94963530461246	1.0	1.0
RGS5	-52319.07970922329	-51921.45563489485	-397.6240743284361	1.0	1.0
AL451050.2	-215.2728926085025	-207.2996771321805	-7.973215476321997	1.0	1.0
SFT2D2	-8333.606451318828	-7494.881920433373	-838.7245308854554	1.0	1.0
TBX19	-710.6995352838834	-633.7448995776373	-76.95463570624611	1.0	1.0
SELL	-1314.3768342643034	-1167.3551005554536	-147.02173370884975	1.0	1.0
PRRX1	-8619.808975272492	-8684.892439733163	65.08346446067117	0.0	0.0
FMO3	-865.3437523752924	-789.287045706991	-76.05670666830144	1.0	1.0
FMO4	-1020.8746047634563	-962.7128806878051	-58.16172407565125	1.0	1.0
TNFSF4	-1013.2726546564202	-893.7503185386249	-119.52233611779525	1.0	1.0
KIAA0040	-1033.145284559103	-928.6829465734088	-104.46233798569415	1.0	1.0
TNR	-42889.08144542015	-43010.21718496919	121.13573954903404	0.0	0.0
PAPPA2	-1613.7325103925705	-1481.1992042650377	-132.5333061275328	1.0	1.0
ANGPTL1	-2515.344477863256	-2240.286276412038	-275.0582014512179	1.0	1.0
AXDND1	-389.0291974875123	-342.2227264947267	-46.80647099278559	1.0	1.0
CEP350	-39579.56523995918	-39717.94853761491	138.38329765573144	0.0	0.0
RGS16	-7446.135656705528	-6471.904313744817	-974.2313429607111	1.0	1.0
NPL	-3772.758480093736	-3340.8405510914818	-431.91792900225437	1.0	1.0
NIBAN1	-1459.6908554150486	-1333.4138820094815	-126.2769734055671	1.0	1.0
TPR	-49060.30987728231	-49599.37430267025	539.0644253879436	0.0	0.0
PLA2G4A	-580.327187841273	-485.2780691346421	-95.0491187066309	1.0	1.0
RGS18	-395.1002599544259	-356.2767498407469	-38.82351011367899	1.0	1.0
RGS1	-15353.381913329888	-15209.227905539488	-144.1540077903992	1.0	1.0
NEK7	-17968.979035571963	-18597.754208995546	628.7751734235826	0.0	0.0
PTPRC	-4004.6603490330544	-3431.0082130753517	-573.6521359577027	1.0	1.0
INAVA	-565.9122163068837	-507.1787837499669	-58.733432556916796	1.0	1.0
ELF3	-514.3430460138482	-484.4171015773655	-29.925944436482666	1.0	1.0
CHI3L1	-10739.390234172517	-9482.436533068056	-1256.9537011044613	1.0	1.0
BTG2	-28519.47808979259	-29352.2339441471	832.7558543545128	0.0	0.0
PRELP	-8432.305281333392	-8566.088475686325	133.7831943529327	0.0	0.0
CNTN2	-42132.43405632676	-45071.72204440915	2939.2879880823893	0.0	0.0
SLC45A3	-4963.856119417275	-4425.054204876222	-538.8019145410535	1.0	1.0
FCMR	-390.74440177058125	-342.5944303993808	-48.14997137120042	1.0	1.0
PFKFB2	-23640.820896778954	-23681.87618386224	41.05528708328711	0.0	0.0
CR1	-546.486708033591	-500.4234047395274	-46.06330329406353	1.0	1.0
G0S2	-1651.1117649073556	-1401.7828232426532	-249.32894166470237	1.0	1.0
ATF3	-9246.793796856058	-9349.217729537859	102.42393268180058	0.0	0.0
PROX1-AS1	-2644.4259301210413	-2399.652968189635	-244.77296193140637	1.0	1.0
PROX1	-8845.771767872811	-8816.736535406444	-29.035232466367233	1.0	1.0
TGFB2	-3102.9249453519674	-2671.74478008804	-431.1801652639274	1.0	1.0
ZC3H11B	-397.9237687718153	-355.834427226795	-42.08934154502026	1.0	1.0
TMEM63A	-13413.990377942557	-14736.421445928318	1322.4310679857608	0.0	0.0
ITPKB	-27890.98206532831	-27550.396848987308	-340.5852163410018	1.0	1.0
WNT9A	-213.51197488937672	-184.81966537446147	-28.69230951491525	1.0	1.0
GJC2	-11067.003313974637	-11396.841914287332	329.8386003126943	0.0	0.0
RHOU	-20297.267513297313	-21235.307397245622	938.0398839483096	0.0	0.0
LINC01736	-2299.47690283264	-2034.2316938755214	-265.2452089571186	1.0	1.0
AGT	-66927.25234708335	-65583.73174791451	-1343.5205991688417	1.0	1.0
C1orf198	-25474.13249085997	-26230.59238171436	756.4598908543885	0.0	0.0
FAM89A	-4198.089018675532	-3831.4917042636775	-366.59731441185477	1.0	1.0
AL445524.1	-1185.689251819182	-1022.3886261977891	-163.30062562139278	1.0	1.0
LINC01354	-3293.7866715908253	-2873.856434600285	-419.9302369905404	1.0	1.0
AL359924.1	-155.32648604356092	-193.48679212207668	38.16030607851576	0.0	0.0
AL365184.1	-392.18689961526195	-365.11538637802585	-27.071513237236104	1.0	1.0
ALKAL2	-580.224798002558	-503.06493091871397	-77.15986708384406	1.0	1.0
AC018685.2	-392.98398320973746	-358.8399934170267	-34.143989792710784	1.0	1.0
AC108488.1	-1390.356735180811	-1297.4075030001036	-92.94923218070744	1.0	1.0
SOX11	-3161.452840968186	-2823.5680862044146	-337.8847547637715	1.0	1.0
AC010729.1	-650.120936560379	-621.1273462588433	-28.993590301535733	1.0	1.0
SILC1	-13301.96677091508	-12908.372677260932	-393.5940936541483	1.0	1.0
LINC00298	-728.7654017415808	-665.521741112448	-63.24366062913282	1.0	1.0
AC082651.1	-1317.0436079427825	-1153.81634720359	-163.2272607391924	1.0	1.0
HPCAL1	-53981.9731066184	-58002.72701688406	4020.753910265659	0.0	0.0
TTC32	-5217.347353262067	-4619.0008176899355	-598.3465355721319	1.0	1.0
APOB	-524.4743141267305	-490.86784297300125	-33.606471153729274	1.0	1.0
ATAD2B	-7675.159602605358	-6630.215007273378	-1044.9445953319791	1.0	1.0
PFN4	-384.4059404091471	-344.4031197133167	-40.002820695830394	1.0	1.0
AC009228.1	-866.9574086371317	-813.2305486420647	-53.726859995067	1.0	1.0
DNAJC27-AS1	-2849.6383844002353	-2585.980322738536	-263.6580616616993	1.0	1.0
ASXL2	-10354.133660752312	-10442.341181706723	88.20752095441094	0.0	0.0
DPYSL5	-14034.175703932071	-14797.424707346197	763.2490034141265	0.0	0.0
AC074117.1	-1200.4462167277943	-1113.2802536251843	-87.16596310261002	1.0	1.0
KRTCAP3	-1004.6197443014722	-938.092180849262	-66.52756345221019	1.0	1.0
ALK	-766.6136930580944	-806.7779323271895	40.164239269095106	0.0	0.0
AL133245.1	-384.74534916321284	-349.6244549050905	-35.12089425812235	1.0	1.0
LINC00486	-706.183912628949	-630.2110016683133	-75.97291096063566	1.0	1.0
LTBP1	-4622.968649306699	-4254.338799557321	-368.6298497493781	1.0	1.0
RASGRP3	-7925.717462351144	-7276.831871637775	-648.8855907133684	1.0	1.0
AC007390.2	-1477.1039454565814	-1298.2380414327592	-178.86590402382217	1.0	1.0
PRKD3	-6648.260758857295	-5904.2864920393995	-743.9742668178951	1.0	1.0
CYP1B1	-6876.51656779913	-6154.135185757793	-722.381382041337	1.0	1.0
LINC01819	-227.74337919276695	-225.07930376031615	-2.664075432450801	1.0	1.0
ZFP36L2	-19684.145817834637	-19652.651885196006	-31.493932638630213	1.0	1.0
SIX3	-713.9137560778813	-662.909581734777	-51.004174343104296	1.0	1.0
SRBD1	-2619.7427533345117	-2386.2676458673377	-233.47510746717398	1.0	1.0
FOXN2	-10698.37790665648	-11074.313114903958	375.93520824747793	0.0	0.0
AC008280.3	-874.7932651486841	-783.6741769825178	-91.1190881661663	1.0	1.0
MTIF2	-11679.97148631851	-9697.60833539819	-1982.3631509203205	1.0	1.0
CCDC88A	-105844.58811883374	-100104.03333448911	-5740.554784344626	1.0	1.0
EFEMP1	-21232.503424294548	-21463.09387116844	230.59044687389178	0.0	0.0
VRK2	-10099.242150316419	-8492.031513125303	-1607.210637191116	1.0	1.0
OTX1	-2042.0246354139554	-1854.594712400961	-187.42992301299432	1.0	1.0
APLF	-4721.830348178731	-3961.2219207234984	-760.6084274552322	1.0	1.0
ANTXR1	-11616.187404350958	-11878.07016119797	261.8827568470115	0.0	0.0
TGFA	-5103.413126813865	-4513.21575673453	-590.1973700793351	1.0	1.0
VAX2	-564.1202539887547	-487.51449771293403	-76.60575627582068	1.0	1.0
PAIP2B	-35571.7624737707	-40169.62247053226	4597.859996761559	0.0	0.0
DYSF	-10088.238514412335	-10600.21028586083	511.97177144849593	0.0	0.0
ALMS1-IT1	-1004.4559602616135	-922.026396589253	-82.42956367236059	1.0	1.0
STAMBP	-11938.111303873258	-12356.906864386938	418.79556051367945	0.0	0.0
MTHFD2	-3930.895228393658	-3475.60012905334	-455.29509934031785	1.0	1.0
AC005041.4	-1975.0785151351363	-1779.6202774454428	-195.45823768969353	1.0	1.0
RTKN	-9438.543198763326	-8546.3909739601	-892.1522248032252	1.0	1.0
LOXL3	-1355.4004198222995	-1172.128595999453	-183.2718238228465	1.0	1.0
AC019069.1	-557.7949355133414	-502.8378997940352	-54.95703571930625	1.0	1.0
HK2	-2157.127441821161	-1895.2347448463652	-261.89269697479585	1.0	1.0
AC005034.6	-717.7615171121863	-644.0633955723436	-73.69812153984276	1.0	1.0
AC012494.1	-385.0606770906053	-349.64093751725324	-35.41973957335205	1.0	1.0
LRRTM1	-5175.706310296747	-5330.025290055775	154.31897975902848	0.0	0.0
RETSAT	-10539.681724021719	-8817.855602722642	-1721.8261212990765	1.0	1.0
